sha	path	j1	j2	j3	majority	claim
01bb2d5f5309a0d9	src/__tests__/tuple.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	The "parse should fail given sparse array as tuple" test shows that testTuple.parse rejects a sparse array of the correct length (new Array(3)), so a length match alone is not sufficient for tuple parsing to succeed.
02037698e06bfe9e	src/__tests__/preprocess.test.ts	NOT_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	In these tests, a preprocess callback that calls ctx.addIssue without fatal:true still produces two issues total (the custom one plus a downstream type error), while setting fatal:true on the addIssue call reduces the result to exactly one issue.
024e7393bfe7f3e9	src/__tests__/parser.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	The 'parse nonstrict object with unknown keys' test calls .parse() directly without wrapping it in expect(...).toThrow() or asserting on the returned value, so it only checks that parsing does not throw rather than verifying any output.
037ae8169c08405e	src/__tests__/record.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	In the prototype-pollution test, parsing an object literal with a __proto__ key against a record schema silently drops that key rather than throwing or merging it, so obj1.a stays undefined instead of becoming "evil".
03c26fae8b173c65	src/__tests__/masking.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	The "require" test builds a baseSchema and immediately discards it (`baseSchema;`), with every actual assertion about the .require() behavior commented out, so this test currently exercises no assertions and passes trivially regardless of whether .require() works.
0461d8eba1c80786	src/__tests__/safeparse.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	safeParse does not catch errors thrown from inside a refine callback itself — such an error still propagates and causes safeParse to throw, rather than being captured as a failed-validation result.
080094bbe3e06c39	src/__tests__/void.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	z.void() accepts only `undefined` as valid input and throws on both `null` and an empty string, so it is not a permissive catch-all for "nothing".
088fec7ed5fbf8d9	src/benchmarks/index.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	The "--discriminatedUnion" CLI flag branch pushes datetimeBenchmarks.suites instead of discriminatedUnionBenchmarks.suites, so passing --discriminatedUnion actually runs the datetime benchmarks.
0e9813850389681d	src/__tests__/literal.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	z.literal() accepts a Symbol value (not just primitive string/number/boolean literals), as shown by literalTerrificSymbol being created from a Symbol and successfully parsing that exact symbol instance.
106e494a80beed12	src/__tests__/firstpartyschematypes.test.ts	TRUE_GROUNDED	NOT_GROUNDED	NOT_GROUNDED	NOT_GROUNDED	This test performs no runtime assertions at all (no expect/toEqual calls); it only compiles a mapped-type computation and calls util.assertEqual, so the exhaustiveness check it performs happens purely at TypeScript compile time, not at test-run time.
1c744c42d1ef928b	src/__tests__/all-errors.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	flatten() routes an issue with an empty path entirely into formErrors (the schema-level refine failure lands as {formErrors: ["Must be equal"], fieldErrors: {}}) while any issue with a non-empty path is keyed into fieldErrors under its field name instead, as shown by the two contrasting expect(...).toEqual(...) blocks in the "all errors" test.
20f9e7d87893d455	src/benchmarks/ipv4.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	ipv4RegexB uniquely implements each octet alternation using lookahead assertions with backreferences (e.g. (?=(25[0-5]))\1) instead of plain grouped alternation used by the other candidate regexes in this benchmark.
24f0a8c68ff3534e	src/__tests__/array.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	When an array field fails both its element-type check and its min-length check at once, parsing does not stop at the first violation: the "continue parsing despite array size error" test shows the resulting error carries two issues rather than just one.
25805ca71bdacb04	src/helpers/partialUtil.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	The DeepPartial conditional type only recurses into ZodObject, ZodArray, ZodOptional, ZodNullable and ZodTuple wrappers; any other ZodTypeAny falls through unchanged in the final ": T" branch instead of being deepened.
292f54c0d35e2bab	src/locales/en.ts	TRUE_GROUNDED	FALSE	FALSE	FALSE	The too_small and too_big messages use type-specific wording rather than one shared template: strings get 'over'/'under' phrasing for the exclusive case while numbers and dates get 'greater than'/'less than' phrasing, so a caller cannot assume a uniform sentence shape across issue.type values.
2a4692c770e96905	src/benchmarks/discriminatedUnion.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	The 'many' discriminatedUnion benchmark suite only exercises valid-parsing benchmarks for two of its four schema variants (a and c), never adding a corresponding 'valid: b' or 'valid: d' case even though dSchema and bSchema are both part of the union.
2bdfc3609b75d5cb	src/__tests__/error.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	The format() method omits entries for array/tuple indices that did not fail validation entirely (e.g. error.inner?.name?.[1] is undefined), rather than including them as empty objects with an empty _errors array.
371eadd603578ea8	src/helpers/typeAliases.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	Scalars only permits a single flat array of primitives (Primitive[]), not arrays of arrays, since it is defined as Primitive | Primitive[] rather than a recursively nested type.
38e19ff733727785	src/__tests__/date.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	z.date().min()/.max() bounds are inclusive rather than exclusive: the "passing validations" test parses the exact benchmark boundary date successfully through both the min-checked and the max-checked schema.
3afd0e26975df934	src/__tests__/bigint.test.ts	TRUE_GROUNDED	NOT_GROUNDED	FALSE	UNSURE	The "min max getters" test shows that calling .min() or .max() a second time overwrites minValue/maxValue with the new bound (min(5).min(10) yields 10, max(5).max(1) yields 1) rather than combining them into the strictest bound.
3dd3493eef7aede3	src/__tests__/async-refinements.test.ts	FALSE	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	Calling the synchronous .parse() on a schema built with an async .refine() callback is asserted to throw regardless of what the async check would eventually resolve to, since the first test throws even for a refine that resolves the Promise to true.
3eea00a75e7f43d3	src/helpers/enumUtil.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	CastToStringTuple silently falls through to `never` for a non-string tuple result instead of constraining or erroring on the original type parameter, so UnionToTupleString resolves to `never` rather than producing a compile error when given a non-string union.
44397ce3ebe38a78	src/__tests__/object-in-es5-env.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	Parsing an empty object schema (z.object({}).safeParse({})) succeeds even when the global Date, Set, or Map constructors are deleted beforehand, showing that path does not internally depend on any of those three globals.
44740d769b445e7f	src/__tests__/promise.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	"promise parsing success 2" shows z.promise(...).parse() accepts a plain object that merely has then() and catch() methods (a thenable stub, not an actual Promise instance), so the schema validates by duck-typing rather than checking for a real Promise.
