sha	path	panel_majority	seat4	cross_mistral	cross_oxalpha	cross_nemotron	cross_laguna
0002a4d97bface79	packages/grounding/test/wp-4.10-d-grd.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
036f2033b0a77465	packages/tools/src/bands.ts	TRUE_GROUNDED	TRUE_GROUNDED	FALSE	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
059008c3c34df0d6	packages/cli/test/mine-projection-surface.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	FALSE	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
09ffb430fdf84fdc	packages/knowledge/test/evaluator.admit-grammar.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
0c931c23827df3ee	packages/adapter-io/test/git-drift.test.ts	NOT_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	NOT_GROUNDED	NOT_GROUNDED	TRUE_GROUNDED
108ab7883cefb7ec	packages/e2e/test/s07-memory-scoping.e2e.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED		TRUE_GROUNDED	TRUE_GROUNDED
12e47948bfa41323	packages/knowledge/src/lifecycle/reconcile.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
1474956661c1e683	packages/e2e-blackbox/test/s21-scip-forgery.blackbox.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	FALSE	NOT_GROUNDED	FALSE	TRUE_GROUNDED
1651523edeebb772	packages/adapter-io/test/reconcile-entry-symmetry.test.ts	NOT_GROUNDED	TRUE_GROUNDED	FALSE	NOT_GROUNDED	NOT_GROUNDED	TRUE_GROUNDED
19528c38087d123f	packages/persist/src/reinvoke.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
1caab2eaebebe556	packages/cli/src/gitignore.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
1fe060227d2479b3	packages/adapter-io/test/compose-negation-promote-deps.test.	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
242c8336664745ca	packages/tools/test/wp-8.27-tools.heldout.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
27e2a6e4cdb15e39	packages/cli/src/map.ts	TRUE_GROUNDED	TRUE_GROUNDED	FALSE	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
2b91c0c5c0983df1	packages/knowledge/test/reconcile.know5.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
2e8cfdcde85369aa	packages/adapter-io/test/wire-retrieval-freshness.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	NOT_GROUNDED	NOT_GROUNDED	NOT_GROUNDED	TRUE_GROUNDED
315de621fe1eb729	packages/tools/test/wp-8.27-tools.test.ts	NOT_GROUNDED	FALSE	TRUE_GROUNDED		TRUE_GROUNDED	TRUE_GROUNDED
34b67d4214d0b51f	packages/e2e-blackbox/test/s26-symbol-arm.blackbox.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
38090bf3c0d547be	packages/e2e-blackbox/test/s2-guardrails.blackbox.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	FALSE	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
39cc083b8dcb6d09	packages/tools/test/error-attribution.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
3d2f18c57e64c00b	packages/memory/src/index.ts	TRUE_GROUNDED	TRUE_GROUNDED	FALSE	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
3ecf458319397b85	packages/adapter-io/test/door-regression-reject-disclosure.t	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	NOT_GROUNDED	TRUE_GROUNDED
4074c43f2ae3946f	packages/adapter-io/test/door-regression-kind-check.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
426ccfdd10a8430f	packages/adapter-io/test/model-config.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
44c566e7a28e6502	packages/e2e-blackbox/test/s22-scip-device-read.blackbox.tes	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
4ad12ebec955a92f	packages/adapter-io/src/governed-emit-address.ts	TRUE_GROUNDED	TRUE_GROUNDED	FALSE	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
4db8f3b7ac2b39e5	packages/e2e/test/s06-retrieval-budget.e2e.test.ts	FALSE	FALSE	FALSE	FALSE	NOT_GROUNDED	FALSE
526b985468cf4a3a	packages/persist/test/scrub-adjacent-store.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
55e690153dc302db	packages/kernel/test/totality.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	FALSE	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
5a3a2e1f60f2326a	packages/kernel/test/encoder.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
5ee8f1e9b09dcb9c	packages/e2e-blackbox/test/s5-mcp-parity.blackbox.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	FALSE	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
61781bd8ff372fb9	packages/kernel/test/heldout-krn.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	FALSE		TRUE_GROUNDED	TRUE_GROUNDED
6372d7eeab781fdf	packages/tools/test/wp-4.12-a-tools.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
67c49e0ffd0d93ad	packages/genesis/test/wp-8.27-gen.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
6a7f7ad89478999b	packages/cli/src/doctor.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	FALSE
6c8d18e198f03d52	packages/adapter-io/src/retrieval-model.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED		TRUE_GROUNDED	TRUE_GROUNDED
71a6443d0aa8afaa	packages/adapter-io/test/support/bench-scorer.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
74757af5e070efc1	packages/cli/test/wp-96-r-relation-e2e.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED
