sha	path	j1	j2	j3	majority	claim
0002a4d97bface79	packages/grounding/test/wp-4.10-d-grd.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	readSpan validates a span by hashing the presented bytes and comparing to contentHash rather than trusting the start/end offsets, so a span whose start/end have been moved to a different location within the same underlying bytes still reads successfully as long as the byte content still hashes the same.
0084dc9241f1805f	packages/persist/test/wp-3.4-a.heldout.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	The attach pointer for a CasObject is asserted to have exactly one own key, 'hash', with no other metadata such as size or role carried alongside it.
00f08f190f0f2b4b	packages/knowledge/test/wp-5.13-b-know.anchor-identity.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	In the guardrail test, a content-hash miss combined with a nodeKey hit routes to UPDATE for the advisory family but to SUPERSEDE for the predicate family (with checkSame true), so routeWrite's outcome depends on family, not just on the hash/nodeKey hit pattern alone.
0102b61db43b1642	packages/e2e-blackbox/test/door-regression-scope-brick.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	The test deliberately does not assert what verdict the malformed JSON-array-scope write receives (it only checks the exit code is 0, 1, or 2); it only requires that a subsequent legitimate write to the same anchor still succeeds and is not rejected for a governance-relocation reason.
01912e55788acc32	packages/cli/test/mine-superseded-publish.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	storeWithRivalOnFirstCommit only injects the rival sidecar write on the FIRST call to commitStaging (guarded by a `commits === 1` counter), so later commits in the same test run against the real, unmodified store.
01989fbb1eaafd65	packages/genesis/test/wp-8.29-gen.heldout.test.ts	NOT_GROUNDED	NOT_GROUNDED	NOT_GROUNDED	NOT_GROUNDED	facetOf distinguishes a ConventionsSource from a plausible README-like object solely by the presence of an `anchor` field, not by the presence of a `path` field, so an object with `path` but no `anchor` still yields UN-SEEDED rather than being treated as a conventions source.
019d198454b03960	packages/knowledge/test/hits.know17.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	When a decayed fact re-enters via logHit, its hit count resets to 1 rather than resuming from the count it had before decay.
01ef1768d7e2cdc2	packages/retrieval/src/relate.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	labelCoChanged unconditionally overwrites the relation field to 'coChanged' on every surviving fact, discarding whatever original relation kind (e.g. dependency/dependent) that fact carried before being placed in the coChanged band.
036f2033b0a77465	packages/tools/src/bands.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	In splitBands, once one T2 row fails to fit under ADVISORY_CAP the capped flag is set permanently, so every later T2 row is dropped even if its own claim.length would still fit in the remaining budget, rather than the fill trying smaller later rows against the leftover space.
039e90b629f68f58	packages/tools/test/push-pull-optimize.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	The `pullOptimize` fallback path re-materializes the pack from scratch on every call rather than caching or memoizing it across invocations.
03d27860372515d7	packages/mcp-server/test/negations-mcp.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	When the required `scope` argument is omitted from an atlas-negations call, the resulting error text contains the exact lowercase substring "missing scope" rather than a generic validation message.
04e185c053fa90ef	packages/cli/test/mine-decide-seal-carry.test.ts	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	TRUE_GROUNDED	The AC-4 back-compat test does not just assert row.seal is undefined, it also asserts the seal key is truly absent from the row object via hasOwnProperty, so an implementation that sets seal: undefined would pass the first assertion but fail this stricter one.
